genre,community
rock&roll,0
rockabilly,0
folk,1
indie_rock,2
country,3
country_pop,3
pop_rock,4
alternative_rock,5
blues,6
rock,7
new_wave,8
r&b,9
neo_soul,10
funk,11
folk_rock,12
dance,13
hip_hop,14
gospel,15
jazz,16
blues_rock,17
hard_rock,18
americana,19
gangsta_rap,14
heavy_metal,20
progressive_metal,20
punk_rock,21
pop,22
soul,23
progressive_rock,18
alternative_hip_hop,14
disco,24
bluegrass,3
dance_pop,25
post_grunge,18
glam_metal,18
country_rock,3
electronic,26
alternative_metal,27
emo,5
post_punk,8
trap,14
hardcore_punk,21
experimental_rock,5
synth_pop,8
soft_rock,4
house,13
alternative_country,19
nu_metal,27
electro_pop,28
grunge,5
post_hardcore,5
contemporary,29
power_pop,5
jazz_fusion,16
swing,16
power_metal,20
acoustic,1
pop_punk,5
classical,16
indie_pop,2
thrash_metal,20
psychedelic_rock,7
